




Analysis Type:	PANTHER Overrepresentation Test (Released 20210224)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.4735677 Released 2021-05-01
Analyzed List:	Client Text Box Input (Homo sapiens)
Reference List:	Homo sapiens (all genes in database)
Test Type:	FISHER
Correction:	FDR
GO biological process complete	Homo sapiens - REFLIST (20595)	Client Text Box Input (5892)	Client Text Box Input (expected)	Client Text Box Input (over/under)	Client Text Box Input (fold Enrichment)	Client Text Box Input (raw P-value)	Client Text Box Input (FDR)
chromosome organization (GO:0051276)	1064	523	304.40	+	1.72	4.44E-24	1.30E-21
chromatin remodeling (GO:0006338)	173	85	49.49	+	1.72	8.22E-05	2.87E-03
positive regulation of mitotic cell cycle (GO:0045931)	112	55	32.04	+	1.72	1.42E-03	3.41E-02
nucleobase-containing compound metabolic process (GO:0006139)	2705	1328	773.87	+	1.72	2.90E-65	4.59E-62
cellular nitrogen compound biosynthetic process (GO:0044271)	1553	762	444.30	+	1.72	3.45E-35	1.61E-32
transport along microtubule (GO:0010970)	157	77	44.92	+	1.71	1.87E-04	6.01E-03
ATP metabolic process (GO:0046034)	206	101	58.93	+	1.71	1.66E-05	6.51E-04
chromosome segregation (GO:0007059)	286	140	81.82	+	1.71	3.77E-07	2.02E-05
cell cycle phase transition (GO:0044770)	270	132	77.24	+	1.71	8.53E-07	4.30E-05
DNA recombination (GO:0006310)	225	110	64.37	+	1.71	8.25E-06	3.47E-04
protein acylation (GO:0043543)	178	87	50.92	+	1.71	7.50E-05	2.65E-03
mitotic cell cycle phase transition (GO:0044772)	262	128	74.96	+	1.71	1.47E-06	7.08E-05
regulation of cell cycle phase transition (GO:1901987)	522	255	149.34	+	1.71	6.29E-12	5.98E-10
cell division (GO:0051301)	498	243	142.47	+	1.71	2.50E-11	2.24E-09
chromatin organization (GO:0006325)	703	343	201.12	+	1.71	1.12E-15	1.51E-13
nucleosome assembly (GO:0006334)	117	57	33.47	+	1.70	1.31E-03	3.16E-02
import into nucleus (GO:0051170)	117	57	33.47	+	1.70	1.31E-03	3.15E-02
heterocycle catabolic process (GO:0046700)	417	203	119.30	+	1.70	1.11E-09	8.43E-08
protein polyubiquitination (GO:0000209)	325	158	92.98	+	1.70	9.66E-08	5.64E-06
nucleobase-containing compound transport (GO:0015931)	245	119	70.09	+	1.70	4.27E-06	1.86E-04
mitochondrial transport (GO:0006839)	235	114	67.23	+	1.70	6.87E-06	2.94E-04
cellular nitrogen compound catabolic process (GO:0044270)	423	205	121.02	+	1.69	1.38E-09	1.02E-07
energy derivation by oxidation of organic compounds (GO:0015980)	256	124	73.24	+	1.69	2.77E-06	1.25E-04
regulation of response to DNA damage stimulus (GO:2001020)	223	108	63.80	+	1.69	1.36E-05	5.43E-04
DNA metabolic process (GO:0006259)	777	376	222.29	+	1.69	1.34E-16	1.97E-14
protein catabolic process (GO:0030163)	697	337	199.40	+	1.69	6.63E-15	8.12E-13
response to UV (GO:0009411)	151	73	43.20	+	1.69	3.57E-04	1.08E-02
regulation of cell cycle G1/S phase transition (GO:1902806)	178	86	50.92	+	1.69	1.01E-04	3.45E-03
cell cycle G2/M phase transition (GO:0044839)	143	69	40.91	+	1.69	6.25E-04	1.70E-02
negative regulation of cell cycle (GO:0045786)	454	219	129.88	+	1.69	4.62E-10	3.67E-08
G2/M transition of mitotic cell cycle (GO:0000086)	141	68	40.34	+	1.69	5.80E-04	1.60E-02
chromatin assembly (GO:0031497)	150	72	42.91	+	1.68	4.59E-04	1.32E-02
regulation of mitotic cell cycle (GO:0007346)	588	282	168.22	+	1.68	2.46E-12	2.39E-10
positive regulation of chromatin organization (GO:1905269)	121	58	34.62	+	1.68	1.55E-03	3.65E-02
microtubule-based transport (GO:0099111)	192	92	54.93	+	1.67	7.34E-05	2.60E-03
heterocycle metabolic process (GO:0046483)	2891	1381	827.08	+	1.67	1.41E-62	2.03E-59
DNA conformation change (GO:0071103)	312	149	89.26	+	1.67	5.71E-07	2.95E-05
regulation of G2/M transition of mitotic cell cycle (GO:0010389)	212	101	60.65	+	1.67	3.78E-05	1.40E-03
aromatic compound catabolic process (GO:0019439)	438	208	125.31	+	1.66	4.18E-09	2.89E-07
protein modification by small protein removal (GO:0070646)	295	140	84.40	+	1.66	1.64E-06	7.79E-05
regulation of gene expression, epigenetic (GO:0040029)	173	82	49.49	+	1.66	2.60E-04	8.15E-03
viral life cycle (GO:0019058)	230	109	65.80	+	1.66	2.35E-05	9.05E-04
intracellular transport (GO:0046907)	1464	693	418.83	+	1.65	2.03E-28	7.63E-26
response to endoplasmic reticulum stress (GO:0034976)	260	123	74.38	+	1.65	7.48E-06	3.17E-04
cytosolic transport (GO:0016482)	148	70	42.34	+	1.65	7.54E-04	1.99E-02
regulation of cell cycle G2/M phase transition (GO:1902749)	222	105	63.51	+	1.65	4.05E-05	1.48E-03
regulation of cellular protein catabolic process (GO:1903362)	256	121	73.24	+	1.65	8.64E-06	3.61E-04
nuclear division (GO:0000280)	339	160	96.98	+	1.65	3.74E-07	2.01E-05
cellular amide metabolic process (GO:0043603)	820	387	234.59	+	1.65	8.28E-16	1.14E-13
cellular aromatic compound metabolic process (GO:0006725)	2937	1384	840.24	+	1.65	5.93E-60	7.81E-57
vacuolar transport (GO:0007034)	155	73	44.34	+	1.65	7.30E-04	1.93E-02
post-Golgi vesicle-mediated transport (GO:0006892)	136	64	38.91	+	1.64	1.50E-03	3.57E-02
regulation of cell cycle process (GO:0010564)	792	372	226.58	+	1.64	5.07E-15	6.46E-13
cellular nitrogen compound metabolic process (GO:0034641)	3395	1594	971.27	+	1.64	3.31E-70	6.55E-67
vacuole organization (GO:0007033)	145	68	41.48	+	1.64	1.18E-03	2.90E-02
positive regulation of protein modification by small protein conjugation or removal (GO:1903322)	143	67	40.91	+	1.64	1.12E-03	2.77E-02
protein modification by small protein conjugation (GO:0032446)	822	383	235.17	+	1.63	5.93E-15	7.39E-13
DNA packaging (GO:0006323)	202	94	57.79	+	1.63	1.39E-04	4.60E-03
electron transport chain (GO:0022900)	170	79	48.64	+	1.62	5.36E-04	1.51E-02
gene silencing (GO:0016458)	153	71	43.77	+	1.62	1.18E-03	2.90E-02
protein deubiquitination (GO:0016579)	278	129	79.53	+	1.62	1.05E-05	4.28E-04
nucleobase-containing compound biosynthetic process (GO:0034654)	975	452	278.94	+	1.62	2.83E-17	4.35E-15
organelle fission (GO:0048285)	369	171	105.57	+	1.62	3.46E-07	1.87E-05
heterocycle biosynthetic process (GO:0018130)	1049	484	300.11	+	1.61	3.92E-18	6.52E-16
protein modification by small protein conjugation or removal (GO:0070647)	1035	477	296.10	+	1.61	7.40E-18	1.19E-15
cell cycle process (GO:0022402)	957	441	273.79	+	1.61	1.39E-16	2.03E-14
protein transport (GO:0015031)	1300	599	371.92	+	1.61	2.30E-22	5.59E-20
cellular response to topologically incorrect protein (GO:0035967)	152	70	43.49	+	1.61	1.49E-03	3.55E-02
establishment of protein localization (GO:0045184)	1397	642	399.67	+	1.61	8.81E-24	2.49E-21
nucleus organization (GO:0006997)	148	68	42.34	+	1.61	1.71E-03	3.99E-02
organic cyclic compound catabolic process (GO:1901361)	466	214	133.32	+	1.61	1.79E-08	1.15E-06
cell cycle (GO:0007049)	1316	604	376.49	+	1.60	2.87E-22	6.78E-20
protein-containing complex subunit organization (GO:0043933)	1605	733	459.17	+	1.60	1.30E-26	4.19E-24
DNA-templated transcription, initiation (GO:0006352)	195	89	55.79	+	1.60	4.12E-04	1.21E-02
regulation of cell cycle (GO:0051726)	1164	531	333.01	+	1.59	3.67E-19	6.59E-17
regulation of cellular catabolic process (GO:0031329)	899	410	257.19	+	1.59	7.57E-15	9.20E-13
protein ubiquitination (GO:0016567)	746	340	213.42	+	1.59	1.95E-12	1.92E-10
positive regulation of DNA metabolic process (GO:0051054)	202	92	57.79	+	1.59	3.06E-04	9.40E-03
organic cyclic compound metabolic process (GO:1901360)	3182	1448	910.33	+	1.59	6.13E-56	7.45E-53
protein localization to nucleus (GO:0034504)	168	76	48.06	+	1.58	1.13E-03	2.81E-02
aromatic compound biosynthetic process (GO:0019438)	1060	479	303.25	+	1.58	9.50E-17	1.42E-14
regulation of DNA metabolic process (GO:0051052)	372	168	106.43	+	1.58	1.39E-06	6.79E-05
regulation of protein stability (GO:0031647)	306	138	87.54	+	1.58	1.46E-05	5.79E-04
cellular component disassembly (GO:0022411)	409	184	117.01	+	1.57	5.36E-07	2.78E-05
positive regulation of cellular protein catabolic process (GO:1903364)	156	70	44.63	+	1.57	2.20E-03	4.96E-02
cytoskeleton-dependent intracellular transport (GO:0030705)	194	87	55.50	+	1.57	6.69E-04	1.80E-02
protein-containing complex assembly (GO:0065003)	1358	609	388.51	+	1.57	1.27E-20	2.63E-18
regulation of autophagy (GO:0010506)	331	148	94.70	+	1.56	1.09E-05	4.44E-04
peptidyl-amino acid modification (GO:0018193)	886	396	253.47	+	1.56	1.83E-13	1.95E-11
regulation of catabolic process (GO:0009894)	1066	476	304.97	+	1.56	6.46E-16	9.04E-14
regulation of chromatin organization (GO:1902275)	211	94	60.36	+	1.56	5.08E-04	1.44E-02
positive regulation of cell cycle (GO:0045787)	310	138	88.69	+	1.56	2.67E-05	1.00E-03
Golgi vesicle transport (GO:0048193)	398	177	113.86	+	1.55	1.71E-06	8.09E-05
negative regulation of cellular catabolic process (GO:0031330)	257	114	73.52	+	1.55	1.52E-04	4.98E-03
positive regulation of cell cycle process (GO:0090068)	228	101	65.23	+	1.55	3.85E-04	1.14E-02
regulation of protein catabolic process (GO:0042176)	398	176	113.86	+	1.55	2.20E-06	1.00E-04
cellular macromolecule localization (GO:0070727)	1480	651	423.41	+	1.54	1.82E-20	3.68E-18
response to topologically incorrect protein (GO:0035966)	191	84	54.64	+	1.54	1.30E-03	3.15E-02
protein stabilization (GO:0050821)	198	87	56.65	+	1.54	1.21E-03	2.97E-02
cellular macromolecule metabolic process (GO:0044260)	4909	2154	1404.41	+	1.53	8.84E-81	2.33E-77
cellular protein localization (GO:0034613)	1470	643	420.55	+	1.53	7.90E-20	1.50E-17
cellular response to stress (GO:0033554)	1741	760	498.08	+	1.53	2.71E-23	7.27E-21
cellular response to radiation (GO:0071478)	181	79	51.78	+	1.53	2.08E-03	4.72E-02
organonitrogen compound biosynthetic process (GO:1901566)	1379	601	394.52	+	1.52	2.95E-18	5.08E-16
cellular biosynthetic process (GO:0044249)	2715	1183	776.73	+	1.52	2.36E-37	1.29E-34
positive regulation of cellular catabolic process (GO:0031331)	450	196	128.74	+	1.52	1.53E-06	7.33E-05
organelle assembly (GO:0070925)	796	346	227.73	+	1.52	1.04E-10	8.92E-09
cellular protein metabolic process (GO:0044267)	3590	1552	1027.06	+	1.51	8.90E-50	8.79E-47
cellular response to oxygen levels (GO:0071453)	220	95	62.94	+	1.51	1.03E-03	2.59E-02
positive regulation of catabolic process (GO:0009896)	519	224	148.48	+	1.51	3.92E-07	2.09E-05
vesicle organization (GO:0016050)	313	135	89.55	+	1.51	9.28E-05	3.21E-03
organic substance biosynthetic process (GO:1901576)	2803	1207	801.91	+	1.51	2.12E-36	1.12E-33
positive regulation of protein catabolic process (GO:0045732)	237	102	67.80	+	1.50	7.69E-04	2.01E-02
cellular component biogenesis (GO:0044085)	2754	1182	787.89	+	1.50	4.25E-35	1.92E-32
organic cyclic compound biosynthetic process (GO:1901362)	1196	513	342.16	+	1.50	1.12E-14	1.32E-12
biosynthetic process (GO:0009058)	2865	1228	819.64	+	1.50	2.22E-36	1.13E-33
nitrogen compound transport (GO:0071705)	1708	731	488.64	+	1.50	1.05E-20	2.30E-18
localization within membrane (GO:0051668)	615	263	175.94	+	1.49	7.31E-08	4.33E-06
cellular catabolic process (GO:0044248)	1812	773	518.39	+	1.49	1.39E-21	3.19E-19
protein localization to membrane (GO:0072657)	542	231	155.06	+	1.49	5.23E-07	2.73E-05
organelle organization (GO:0006996)	3567	1518	1020.48	+	1.49	2.26E-45	1.55E-42
post-translational protein modification (GO:0043687)	361	153	103.28	+	1.48	7.00E-05	2.49E-03
negative regulation of catabolic process (GO:0009895)	317	134	90.69	+	1.48	1.98E-04	6.32E-03
protein localization (GO:0008104)	2063	872	590.20	+	1.48	1.37E-23	3.80E-21
microtubule cytoskeleton organization (GO:0000226)	567	238	162.21	+	1.47	8.72E-07	4.38E-05
establishment of organelle localization (GO:0051656)	398	166	113.86	+	1.46	6.24E-05	2.23E-03
macromolecule metabolic process (GO:0043170)	6151	2564	1759.73	+	1.46	1.86E-83	5.86E-80
organelle localization (GO:0051640)	609	253	174.23	+	1.45	8.34E-07	4.22E-05
regulation of cellular response to stress (GO:0080135)	692	285	197.97	+	1.44	2.64E-07	1.46E-05
macromolecule modification (GO:0043412)	3211	1319	918.63	+	1.44	1.11E-32	4.76E-30
nitrogen compound metabolic process (GO:0006807)	6886	2814	1970.01	+	1.43	4.98E-88	3.94E-84
cellular metabolic process (GO:0044237)	7542	3081	2157.68	+	1.43	3.22E-102	5.08E-98
organic substance catabolic process (GO:1901575)	1769	722	506.09	+	1.43	1.61E-16	2.34E-14
cellular component assembly (GO:0022607)	2494	1013	713.51	+	1.42	5.16E-23	1.34E-20
microtubule-based process (GO:0007017)	806	327	230.59	+	1.42	1.11E-07	6.43E-06
macromolecule localization (GO:0033036)	2496	1012	714.08	+	1.42	8.13E-23	2.01E-20
phospholipid biosynthetic process (GO:0008654)	289	117	82.68	+	1.42	1.74E-03	4.05E-02
cellular protein modification process (GO:0006464)	2985	1206	853.98	+	1.41	3.54E-27	1.22E-24
protein modification process (GO:0036211)	2985	1206	853.98	+	1.41	3.54E-27	1.19E-24
regulation of intracellular transport (GO:0032386)	364	147	104.14	+	1.41	4.74E-04	1.36E-02
positive regulation of organelle organization (GO:0010638)	605	244	173.08	+	1.41	6.89E-06	2.94E-04
organonitrogen compound catabolic process (GO:1901565)	1091	438	312.12	+	1.40	1.63E-09	1.18E-07
primary metabolic process (GO:0044238)	7352	2947	2103.33	+	1.40	2.26E-86	1.19E-82
catabolic process (GO:0009056)	2096	839	599.64	+	1.40	1.36E-17	2.11E-15
generation of precursor metabolites and energy (GO:0006091)	403	161	115.29	+	1.40	4.03E-04	1.19E-02
establishment of localization in cell (GO:0051649)	2335	931	668.02	+	1.39	3.18E-19	5.84E-17
protein metabolic process (GO:0019538)	4203	1667	1202.43	+	1.39	2.45E-36	1.21E-33
negative regulation of gene expression (GO:0010629)	999	396	285.80	+	1.39	3.75E-08	2.31E-06
cellular localization (GO:0051641)	2985	1174	853.98	+	1.37	5.63E-23	1.41E-20
organic substance metabolic process (GO:0071704)	7840	3051	2242.94	+	1.36	1.91E-78	4.32E-75
regulation of organelle organization (GO:0033043)	1208	469	345.60	+	1.36	1.33E-08	8.70E-07
organic substance transport (GO:0071702)	2079	806	594.78	+	1.36	2.91E-14	3.30E-12
metabolic process (GO:0008152)	8313	3220	2378.26	+	1.35	5.20E-84	2.05E-80
organophosphate biosynthetic process (GO:0090407)	552	213	157.92	+	1.35	2.44E-04	7.71E-03
endomembrane system organization (GO:0010256)	530	203	151.63	+	1.34	4.36E-04	1.27E-02
negative regulation of macromolecule biosynthetic process (GO:0010558)	1551	593	443.72	+	1.34	8.69E-10	6.63E-08
negative regulation of cellular macromolecule biosynthetic process (GO:2000113)	1540	588	440.58	+	1.33	1.27E-09	9.51E-08
negative regulation of nucleobase-containing compound metabolic process (GO:0045934)	1528	582	437.14	+	1.33	1.85E-09	1.34E-07
positive regulation of nucleobase-containing compound metabolic process (GO:0045935)	1941	739	555.30	+	1.33	7.65E-12	7.24E-10
positive regulation of macromolecule biosynthetic process (GO:0010557)	1863	705	532.98	+	1.32	6.73E-11	5.84E-09
organonitrogen compound metabolic process (GO:1901564)	5246	1985	1500.82	+	1.32	9.76E-35	4.29E-32
negative regulation of cellular biosynthetic process (GO:0031327)	1610	608	460.60	+	1.32	2.20E-09	1.58E-07
negative regulation of biosynthetic process (GO:0009890)	1643	619	470.04	+	1.32	2.19E-09	1.58E-07
cellular component organization or biogenesis (GO:0071840)	6006	2261	1718.25	+	1.32	3.23E-40	1.96E-37
negative regulation of RNA metabolic process (GO:0051253)	1408	529	402.81	+	1.31	5.70E-08	3.40E-06
positive regulation of RNA metabolic process (GO:0051254)	1773	665	507.24	+	1.31	8.22E-10	6.34E-08
positive regulation of apoptotic process (GO:0043065)	560	210	160.21	+	1.31	9.57E-04	2.42E-02
carbohydrate derivative biosynthetic process (GO:1901137)	604	226	172.80	+	1.31	5.86E-04	1.60E-02
proteolysis (GO:0006508)	1306	488	373.63	+	1.31	3.04E-07	1.66E-05
positive regulation of cellular biosynthetic process (GO:0031328)	1969	730	563.31	+	1.30	6.14E-10	4.78E-08
regulation of cellular macromolecule biosynthetic process (GO:2000112)	3968	1468	1135.20	+	1.29	1.34E-20	2.75E-18
regulation of macromolecule biosynthetic process (GO:0010556)	3999	1478	1144.07	+	1.29	1.22E-20	2.56E-18
regulation of cellular protein localization (GO:1903827)	561	207	160.50	+	1.29	1.76E-03	4.09E-02
positive regulation of biosynthetic process (GO:0009891)	2004	737	573.32	+	1.29	1.48E-09	1.09E-07
regulation of cellular biosynthetic process (GO:0031326)	4163	1526	1190.99	+	1.28	2.91E-20	5.76E-18
regulation of nucleobase-containing compound metabolic process (GO:0019219)	4049	1483	1158.37	+	1.28	1.79E-19	3.32E-17
positive regulation of nitrogen compound metabolic process (GO:0051173)	3123	1143	893.46	+	1.28	1.78E-14	2.06E-12
cellular component organization (GO:0016043)	5783	2115	1654.45	+	1.28	3.40E-30	1.38E-27
negative regulation of nucleic acid-templated transcription (GO:1903507)	1299	475	371.63	+	1.28	3.40E-06	1.50E-04
regulation of biosynthetic process (GO:0009889)	4226	1544	1209.01	+	1.28	4.52E-20	8.82E-18
negative regulation of RNA biosynthetic process (GO:1902679)	1301	475	372.20	+	1.28	3.96E-06	1.74E-04
negative regulation of transcription, DNA-templated (GO:0045892)	1297	473	371.06	+	1.27	4.42E-06	1.92E-04
positive regulation of cellular metabolic process (GO:0031325)	3314	1208	948.10	+	1.27	6.04E-15	7.47E-13
negative regulation of nitrogen compound metabolic process (GO:0051172)	2453	893	701.78	+	1.27	9.25E-11	7.99E-09
negative regulation of cellular metabolic process (GO:0031324)	2613	951	747.55	+	1.27	1.83E-11	1.68E-09
negative regulation of macromolecule metabolic process (GO:0010605)	2880	1044	823.94	+	1.27	2.66E-12	2.57E-10
negative regulation of metabolic process (GO:0009892)	3095	1121	885.45	+	1.27	3.93E-13	4.09E-11
regulation of RNA metabolic process (GO:0051252)	3782	1366	1081.99	+	1.26	5.00E-16	7.05E-14
positive regulation of nucleic acid-templated transcription (GO:1903508)	1628	586	465.75	+	1.26	1.01E-06	5.02E-05
positive regulation of transcription, DNA-templated (GO:0045893)	1628	586	465.75	+	1.26	1.01E-06	5.00E-05
positive regulation of RNA biosynthetic process (GO:1902680)	1629	586	466.04	+	1.26	1.02E-06	5.03E-05
apoptotic process (GO:0006915)	913	328	261.20	+	1.26	3.59E-04	1.08E-02
negative regulation of cellular component organization (GO:0051129)	724	260	207.13	+	1.26	1.55E-03	3.66E-02
regulation of cellular protein metabolic process (GO:0032268)	2501	898	715.51	+	1.26	7.90E-10	6.12E-08
regulation of protein metabolic process (GO:0051246)	2665	954	762.43	+	1.25	3.24E-10	2.60E-08
regulation of cellular metabolic process (GO:0031323)	6138	2192	1756.01	+	1.25	1.37E-26	4.23E-24
phosphorylation (GO:0016310)	877	313	250.90	+	1.25	6.99E-04	1.86E-02
positive regulation of cellular component organization (GO:0051130)	1161	414	332.15	+	1.25	9.32E-05	3.22E-03
regulation of nitrogen compound metabolic process (GO:0051171)	5740	2038	1642.15	+	1.24	5.46E-23	1.39E-20
positive regulation of protein metabolic process (GO:0051247)	1562	554	446.87	+	1.24	8.77E-06	3.66E-04
positive regulation of macromolecule metabolic process (GO:0010604)	3522	1249	1007.60	+	1.24	1.25E-12	1.25E-10
regulation of cellular localization (GO:0060341)	841	298	240.60	+	1.24	1.35E-03	3.25E-02
negative regulation of transcription by RNA polymerase II (GO:0000122)	906	321	259.20	+	1.24	9.44E-04	2.39E-02
regulation of primary metabolic process (GO:0080090)	5925	2099	1695.08	+	1.24	1.63E-23	4.44E-21
negative regulation of cellular protein metabolic process (GO:0032269)	1040	367	297.53	+	1.23	4.75E-04	1.36E-02
positive regulation of metabolic process (GO:0009893)	3820	1345	1092.86	+	1.23	5.87E-13	6.02E-11
regulation of cellular component organization (GO:0051128)	2390	837	683.75	+	1.22	1.23E-07	6.99E-06
positive regulation of cellular protein metabolic process (GO:0032270)	1474	516	421.69	+	1.22	5.38E-05	1.94E-03
phosphorus metabolic process (GO:0006793)	1835	642	524.97	+	1.22	5.50E-06	2.37E-04
regulation of gene expression (GO:0010468)	4922	1721	1408.13	+	1.22	2.67E-16	3.83E-14
cytoskeleton organization (GO:0007010)	1212	423	346.74	+	1.22	3.66E-04	1.10E-02
phosphate-containing compound metabolic process (GO:0006796)	1808	630	517.25	+	1.22	1.09E-05	4.44E-04
regulation of nucleic acid-templated transcription (GO:1903506)	3475	1210	994.16	+	1.22	1.43E-10	1.20E-08
negative regulation of protein metabolic process (GO:0051248)	1112	387	318.13	+	1.22	7.81E-04	2.04E-02
regulation of transcription, DNA-templated (GO:0006355)	3474	1209	993.87	+	1.22	1.62E-10	1.35E-08
regulation of RNA biosynthetic process (GO:2001141)	3480	1210	995.59	+	1.22	2.12E-10	1.72E-08
regulation of macromolecule metabolic process (GO:0060255)	6340	2203	1813.80	+	1.21	2.66E-21	6.01E-19
regulation of metabolic process (GO:0019222)	6874	2382	1966.57	+	1.21	3.22E-23	8.49E-21
positive regulation of transcription by RNA polymerase II (GO:0045944)	1212	417	346.74	+	1.20	9.94E-04	2.49E-02
regulation of transcription by RNA polymerase II (GO:0006357)	2595	883	742.40	+	1.19	2.29E-06	1.04E-04
regulation of programmed cell death (GO:0043067)	1532	520	438.29	+	1.19	5.48E-04	1.53E-02
regulation of protein modification process (GO:0031399)	1654	560	473.19	+	1.18	3.83E-04	1.14E-02
regulation of apoptotic process (GO:0042981)	1493	505	427.13	+	1.18	8.67E-04	2.22E-02
regulation of cell death (GO:0010941)	1668	557	477.20	+	1.17	1.15E-03	2.84E-02
establishment of localization (GO:0051234)	4631	1511	1324.88	+	1.14	5.04E-07	2.65E-05
negative regulation of cellular process (GO:0048523)	4902	1596	1402.41	+	1.14	3.09E-07	1.68E-05
positive regulation of cellular process (GO:0048522)	5741	1861	1642.44	+	1.13	3.69E-08	2.29E-06
transport (GO:0006810)	4476	1444	1280.53	+	1.13	7.83E-06	3.31E-04
negative regulation of biological process (GO:0048519)	5501	1759	1573.77	+	1.12	2.16E-06	9.91E-05
localization (GO:0051179)	5831	1843	1668.18	+	1.10	1.09E-05	4.45E-04
positive regulation of biological process (GO:0048518)	6331	1990	1811.23	+	1.10	1.12E-05	4.51E-04
cellular process (GO:0009987)	15495	4827	4432.95	+	1.09	8.54E-28	3.14E-25
biological_process (GO:0008150)	17851	5366	5106.97	+	1.05	1.15E-20	2.50E-18
cellular response to stimulus (GO:0051716)	6807	1794	1947.41	-	.92	1.63E-04	5.30E-03
response to stimulus (GO:0050896)	8540	2200	2443.20	-	.90	1.17E-08	7.73E-07
response to chemical (GO:0042221)	4381	1087	1253.36	-	.87	2.06E-06	9.48E-05
multicellular organismal process (GO:0032501)	6926	1692	1981.45	-	.85	8.94E-13	9.05E-11
tissue development (GO:0009888)	1729	413	494.65	-	.83	5.21E-04	1.47E-02
positive regulation of multicellular organismal process (GO:0051240)	1431	341	409.39	-	.83	1.55E-03	3.66E-02
signal transduction (GO:0007165)	5227	1223	1495.39	-	.82	1.68E-13	1.81E-11
epithelium development (GO:0060429)	1113	259	318.42	-	.81	1.92E-03	4.42E-02
cell communication (GO:0007154)	5656	1314	1618.12	-	.81	1.01E-15	1.38E-13
cell surface receptor signaling pathway (GO:0007166)	2495	579	713.79	-	.81	9.93E-07	4.95E-05
negative regulation of multicellular organismal process (GO:0051241)	1014	234	290.09	-	.81	2.14E-03	4.85E-02
signaling (GO:0023052)	5565	1278	1592.08	-	.80	7.17E-17	1.09E-14
cell-cell signaling (GO:0007267)	1131	259	323.57	-	.80	8.12E-04	2.11E-02
regulation of cellular component movement (GO:0051270)	1032	236	295.24	-	.80	1.28E-03	3.12E-02
immune system process (GO:0002376)	2903	657	830.52	-	.79	2.87E-09	2.03E-07
regulation of locomotion (GO:0040012)	997	224	285.23	-	.79	7.12E-04	1.89E-02
localization of cell (GO:0051674)	1109	244	317.27	-	.77	1.12E-04	3.79E-03
cell motility (GO:0048870)	1109	244	317.27	-	.77	1.12E-04	3.78E-03
regulation of cell migration (GO:0030334)	892	196	255.19	-	.77	5.30E-04	1.50E-02
locomotion (GO:0040011)	1345	295	384.79	-	.77	1.32E-05	5.31E-04
regulation of cell motility (GO:2000145)	954	209	272.93	-	.77	2.68E-04	8.34E-03
regulation of immune system process (GO:0002682)	1717	374	491.21	-	.76	3.89E-07	2.08E-05
response to external stimulus (GO:0009605)	2525	548	722.37	-	.76	1.84E-10	1.51E-08
cytokine-mediated signaling pathway (GO:0019221)	687	149	196.54	-	.76	1.52E-03	3.60E-02
regulation of response to external stimulus (GO:0032101)	1199	260	343.02	-	.76	2.17E-05	8.36E-04
cation transport (GO:0006812)	824	178	235.74	-	.76	4.20E-04	1.23E-02
ion transport (GO:0006811)	1200	259	343.31	-	.75	1.62E-05	6.38E-04
cation transmembrane transport (GO:0098655)	641	138	183.38	-	.75	1.88E-03	4.34E-02
cell migration (GO:0016477)	968	208	276.93	-	.75	9.11E-05	3.16E-03
ion transmembrane transport (GO:0034220)	870	184	248.90	-	.74	9.79E-05	3.35E-03
taxis (GO:0042330)	550	116	157.35	-	.74	2.14E-03	4.84E-02
chemotaxis (GO:0006935)	547	115	156.49	-	.73	2.07E-03	4.70E-02
inorganic ion transmembrane transport (GO:0098660)	637	132	182.24	-	.72	4.98E-04	1.42E-02
biological process involved in interspecies interaction between organisms (GO:0044419)	1593	330	455.74	-	.72	1.18E-08	7.75E-07
regulation of ion transmembrane transport (GO:0034765)	502	103	143.62	-	.72	1.53E-03	3.62E-02
regulation of cytokine production (GO:0001817)	748	153	213.99	-	.71	7.58E-05	2.67E-03
regulation of defense response (GO:0031347)	852	173	243.75	-	.71	1.73E-05	6.74E-04
divalent inorganic cation homeostasis (GO:0072507)	481	97	137.61	-	.70	1.19E-03	2.91E-02
endocytosis (GO:0006897)	569	114	162.78	-	.70	3.24E-04	9.89E-03
positive regulation of immune system process (GO:0002684)	1069	214	305.83	-	.70	4.82E-07	2.55E-05
epithelial cell differentiation (GO:0030855)	686	137	196.26	-	.70	6.09E-05	2.19E-03
circulatory system process (GO:0003013)	481	96	137.61	-	.70	8.26E-04	2.14E-02
response to biotic stimulus (GO:0009607)	1547	308	442.58	-	.70	4.54E-10	3.62E-08
regulation of cell activation (GO:0050865)	664	132	189.96	-	.69	6.67E-05	2.37E-03
cellular divalent inorganic cation homeostasis (GO:0072503)	460	91	131.60	-	.69	9.03E-04	2.30E-02
regulation of lymphocyte activation (GO:0051249)	536	106	153.34	-	.69	3.07E-04	9.43E-03
regulation of leukocyte activation (GO:0002694)	622	123	177.95	-	.69	9.81E-05	3.35E-03
regulation of system process (GO:0044057)	585	115	167.36	-	.69	1.28E-04	4.27E-03
regulation of immune response (GO:0050776)	1183	232	338.44	-	.69	2.20E-08	1.39E-06
anion transport (GO:0006820)	460	90	131.60	-	.68	6.16E-04	1.68E-02
synaptic signaling (GO:0099536)	464	90	132.75	-	.68	4.39E-04	1.28E-02
calcium ion homeostasis (GO:0055074)	438	84	125.31	-	.67	5.34E-04	1.50E-02
